sourceId,districtGu,name,point,lat,lng,widthMeter,areaSquareMeter,structureCode,structureName,scls,ufid
stairs:1056,기장군,계단,POINT(129.1816942 35.3270435),35.3270435,129.1816942,0.00,9.80,SRD001,계단,C0393323,100035909068C03910100000000023095
stairs:1057,기장군,계단,POINT(129.1815515 35.3270323),35.3270323,129.1815515,0.00,12.94,SRD001,계단,C0393323,100035909068C03910100000000023096
stairs:1058,기장군,계단,POINT(129.1819803 35.3279420),35.3279420,129.1819803,0.00,9.27,SRD001,계단,C0393323,100035909068C03910100000000023097
stairs:1059,기장군,계단,POINT(129.1821147 35.3279400),35.3279400,129.1821147,0.00,10.18,SRD001,계단,C0393323,100035909068C03910100000000023098
stairs:1060,기장군,계단,POINT(129.1840323 35.3267107),35.3267107,129.1840323,0.00,23.77,SRD001,계단,C0393323,100035909068C03910100000000023099
stairs:1061,기장군,계단,POINT(129.1851444 35.3339489),35.3339489,129.1851444,0.00,49.82,SRD001,계단,C0393323,100035909068C03910100000000023100
stairs:1062,기장군,정완저지배수지,POINT(129.1868642 35.3271004),35.3271004,129.1868642,0.00,105.57,SRD001,계단,C0393323,100035909068C03910100000000023101
stairs:1063,기장군,계단,POINT(129.1921113 35.3263310),35.3263310,129.1921113,0.00,28.98,SRD001,계단,C0393323,100035909068C03910100000000023102
stairs:1064,기장군,계단,POINT(129.1916011 35.3289411),35.3289411,129.1916011,0.00,25.20,SRD001,계단,C0393323,100035909068C03910100000000023103
stairs:1065,기장군,계단,POINT(129.1987658 35.3290785),35.3290785,129.1987658,0.00,15.29,SRD001,계단,C0393323,100035909068C03910100000000023104
stairs:1066,기장군,계단,POINT(129.1982973 35.3291908),35.3291908,129.1982973,0.00,17.73,SRD001,계단,C0393323,100035909068C03910100000000023105
stairs:1067,기장군,계단,POINT(129.1801454 35.3315812),35.3315812,129.1801454,0.00,13.54,SRD001,계단,C0393323,100035909068C03910100000000023106
stairs:1068,기장군,계단,POINT(129.1864811 35.3209450),35.3209450,129.1864811,0.00,42.34,SRD001,계단,C0393323,100035909078C03910100000000023107
stairs:1069,기장군,방곡초교,POINT(129.1866314 35.3229672),35.3229672,129.1866314,0.00,18.60,SRD001,계단,C0393323,100035909078C03910100000000023108
