"elevatorId","stationId","stationName","lineName","entranceNo","point"
"223","225","주례","2","5","POINT(129.00272645995892 35.150270828793005)"
"224","225","주례","2","6","POINT(129.00267058970599 35.15067728087484)"
"227","224","냉정","2","3","POINT(129.0116541564922 35.15101503935198)"
"228","224","냉정","2","4","POINT(129.01159810876024 35.15141248599458)"
"229","224","냉정","2","3","POINT(129.0116541564922 35.15101503935198)"
"236","222","동의대","2","3","POINT(129.032428087224 35.1538042863272)"
"241","221","가야","2","3","POINT(129.04255648610487 35.155589424726806)"
"242","221","가야","2","4","POINT(129.04244574649564 35.15598780527018)"
"246","220","부암","2","6","POINT(129.050348466819 35.15782782083)"
"247","220","부암","2","5","POINT(129.05049490230707 35.15710441035859)"
"248","220","부암","2","6","POINT(129.050348466819 35.15782782083)"
"249","219","서면","2","5","POINT(129.0586111124292 35.15739026657513)"
"250","219","서면","2","11","POINT(129.05857307054387 35.15805777340648)"
"256","218","전포","2","3","POINT(129.06514836786732 35.15251182246696)"
"257","218","전포","2","4","POINT(129.06560900589926 35.152503967048)"
"258","218","전포","2","7","POINT(129.06512286595583 35.154107313563124)"
"259","218","전포","2","8","POINT(129.06557300072765 35.154117660453316)"
"264","216","문현","2","4","POINT(129.06732876412633 35.13981329460177)"
"271","214","못골","2","3","POINT(129.08398124381225 35.13461662236293)"
"272","214","못골","2","4","POINT(129.083974871271 35.1347969640885)"
"273","214","못골","2","1","POINT(129.0847609101675 35.13464826506586)"
"274","214","못골","2","2","POINT(129.084754769063 35.13483761442156)"
"275","213","대연","2","3","POINT(129.09226338115568 35.13504158942585)"
"276","213","대연","2","2","POINT(129.084754769063 35.13483761442156)"
"279","212","경성대부경대","2","3","POINT(129.10017588228052 35.137301745888806)"
"280","212","경성대부경대","2","2","POINT(129.101259660026 35.1380669572347)"
"281","212","경성대부경대","2","3","POINT(129.10017588228052 35.137301745888806)"
"282","212","경성대부경대","2","4","POINT(129.100015799808 35.1374757410675)"
"283","211","남천","2","1","POINT(129.1087634405819 35.142748725593506)"
"284","211","남천","2","4","POINT(129.10687001931237 35.14122267657082)"
"287","210","금련산","2","3","POINT(129.11121395107077 35.15012253242714)"
"288","210","금련산","2","4","POINT(129.11097384221816 35.150171775336304)"
"291","209","광안","2","5","POINT(129.11304469092207 35.15684924862086)"
"292","209","광안","2","6","POINT(129.11281646359697 35.156934334240916)"
"296","208","수영","2","1,2","POINT(129.11436558742338 35.16421563402551)"
"300","207","민락","2","1","POINT(129.122664708228 35.166440462691)"
"301","207","민락","2","2","POINT(129.12287756949684 35.166607949352695)"
"302","207","민락","2","1","POINT(129.122664708228 35.166440462691)"
"303","207","민락","2","2","POINT(129.12287756949684 35.166607949352695)"
"304","206","센텀시티","2","1","POINT(129.13279950703082 35.16918209252074)"
"305","206","센텀시티","2","5","POINT(129.13204535927312 35.16887997254007)"
"306","206","센텀시티","2","8","POINT(129.1318117959706 35.16918146326482)"
"307","206","센텀시티","2","10","POINT(129.13111061717896 35.16880631306228)"
"310","205","벡스코","2","1","POINT(129.13946576299097 35.16810927447611)"
"312","205","벡스코","2","7","POINT(129.138436669232 35.16862308318507)"
"317","204","동백","2","1","POINT(129.1484575389587 35.16074992428016)"
"318","204","동백","2","4","POINT(129.147390808149 35.1619132988281)"
"321","203","해운대","2","5","POINT(129.15896196367152 35.163356642202665)"
"322","203","해운대","2","2","POINT(129.1589972363507 35.16386065279551)"
"325","202","중동","2","5","POINT(129.168400938267 35.1663149406108)"
"326","202","중동","2","4","POINT(129.16853953544808 35.16698831326937)"
"327","202","중동","2","7","POINT(129.1681238508043 35.16621176556008)"
"328","202","중동","2","8","POINT(129.16779628847968 35.167100747262346)"
"334","302","망미","3","3","POINT(129.10884185985563 35.171286867688515)"
"335","302","망미","3","4","POINT(129.1088698491862 35.171520679436654)"
"336","302","망미","3","3","POINT(129.10884185985563 35.171286867688515)"
"337","302","망미","3","4","POINT(129.1088698491862 35.171520679436654)"
"338","302","망미","3","3","POINT(129.10884185985563 35.171286867688515)"
"339","302","망미","3","4","POINT(129.1088698491862 35.171520679436654)"
"340","303","배산","3","5","POINT(129.09480672279878 35.17348600103649)"
"341","303","배산","3","6","POINT(129.094844718752 35.1736835973972)"
"350","305","연산","3","4","POINT(129.085611602803 35.1774295873106)"
"351","305","연산","3","17","POINT(129.08084059972842 35.186171777405804)"
"352","305","연산","3","4","POINT(129.085611602803 35.1774295873106)"
"353","306","거제","3","3","POINT(129.07373263115483 35.188096053704)"
"354","306","거제","3","4","POINT(129.07487402514334 35.18895061696443)"
"355","306","거제","3","5","POINT(129.07318836523342 35.18827659528244)"
"356","306","거제","3","8","POINT(129.07398548931687 35.188974854344515)"
"359","307","종합운동장","3","7","POINT(129.0670778189783 35.19058892068161)"
"360","307","종합운동장","3","4","POINT(129.067602409393 35.1917965229964)"
"361","307","종합운동장","3","11","POINT(129.06717380059317 35.19134425313279)"
"364","308","사직","3","3","POINT(129.06483700572738 35.199206171525056)"
"365","308","사직","3","4","POINT(129.06516804595657 35.19927261641525)"
"368","309","미남","3","1","POINT(129.067338645024 35.2047776665104)"
"369","309","미남","3","2","POINT(129.0676639992911 35.20461891256172)"
"371","310","만덕","3","3","POINT(129.03625365843786 35.212595006458194)"
"372","310","만덕","3","4","POINT(129.0361513747513 35.21333567813451)"
"379","311","남산정","3","4","POINT(129.0233282690504 35.2134245774378)"
"382","312","숙등","3","1","POINT(129.014405137378 35.2122577301371)"
"383","312","숙등","3","2","POINT(129.01432289458 35.2124843899063)"
"386","313","덕천","3","9","POINT(129.006516178059 35.2102710414281)"
"387","313","덕천","3","12","POINT(129.00642338242372 35.21051589448444)"
"394","315","강서구청","3","1","POINT(128.9827868235898 35.211130725318256)"
"400","317","대저","3","1","POINT(128.9609967355867 35.21320698467756)"
"402","401","미남","4","9","POINT(129.06899327075203 35.207678144147465)"
"403","401","미남","4","10","POINT(129.070109285485 35.20752388783)"
"404","401","미남","4","13","POINT(129.0693977431582 35.20847325595722)"
"405","401","미남","4","12","POINT(129.07037154488086 35.207906897921625)"
"406","402","동래","4","5","POINT(129.076788219252 35.2050664698228)"
"407","402","동래","4","6","POINT(129.07665101863 35.2048525472638)"
"415","404","낙민","4","1","POINT(129.090438925864 35.2004879252672)"
"416","404","낙민","4","2","POINT(129.09030100589436 35.200246996452876)"
"422","406","명장","4","3","POINT(129.10173183441512 35.20543791838743)"
"423","406","명장","4","4","POINT(129.10200433739266 35.205361094206545)"
"424","406","명장","4","3","POINT(129.10173183441512 35.20543791838743)"
"425","406","명장","4","4","POINT(129.10200433739266 35.205361094206545)"
"426","407","서동","4","3","POINT(129.10760373400353 35.21342810283634)"
"427","407","서동","4","4","POINT(129.10781998225656 35.2132981762001)"
"430","408","금사","4","3","POINT(129.11560000095866 35.21606410390844)"
"431","408","금사","4","4","POINT(129.11569363874713 35.215864215250996)"
"436","410","석대","4","2","POINT(129.137207814857 35.2180724436611)"
"437","411","영산대","4","1","POINT(129.14594436821216 35.22541529037038)"
"438","411","영산대","4","2","POINT(129.14635406926016 35.22554319406132)"
"440","412","윗반송","4","3","POINT(129.15406750756736 35.232759380819104)"
"441","412","윗반송","4","4","POINT(129.1542698905416 35.2325214825903)"
"443","413","고촌","4","1","POINT(129.16000915830597 35.236068743028454)"
