placeId,name,category,address,point,providerPlaceId
125,서대신4동주민센터,ETC,"부산광역시 서구 꽃마을로 58, 서대신4동주민센터 (서대신동3가)",POINT(129.0117419 35.1194216),
126,부산서구문화원화장실,ETC,"부산광역시 서구 까치고개로197번길 46, 서구문화원 (아미동2가)",POINT(129.0175820 35.1020336),
127,남항대교 밑 공중화장실,ETC,"부산광역시 서구 충무대로94번길 40, 남항대교 주차장 (암남동)",POINT(129.0235958 35.0793967),
128,부산대학병원,ETC,"부산광역시 서구 구덕로 179, 부산대학병원 (아미동1가)",POINT(129.0191003 35.1012531),
129,남부민2동주민센터,ETC,"부산광역시 서구 천마로 87, 남부민2동 주민센터 (남부민동)",POINT(129.0205196 35.0845382),
130,서구보건소,ETC,"부산광역시 서구 부용로 30, 서구보건소 부민노인복지관 (부용동2가)",POINT(129.0180887 35.1075364),
131,대신공원 매점 옆,ETC,부산광역시 서구 대신공원로 37-23 (서대신동3가),POINT(129.0193000 35.1261600),
132,임해행정봉사실,ETC,부산광역시 서구 송도해변로 100,POINT(129.0180502 35.0768212),
133,서대신1동 주민센터,ETC,"부산광역시 서구 구덕로315번길 49, 서대신1동주민센터 (서대신동2가)",POINT(129.0144129 35.1112042),
134,암남공원 (풍차),ETC,부산광역시 서구 암남동 산 193,POINT(129.0109518 35.0613232),
135,송도우체국,ETC,"부산광역시 서구 충무대로 47, 부산송도우체국 (암남동)",POINT(129.0179117 35.0790393),
136,구덕운동장 체육공원,ETC,"부산광역시 서구 망양로 57, 구덕운동장 (서대신동3가)",POINT(129.0152673 35.1158790),
137,서대신동지하철역,ETC,부산광역시 서구 대영로 지하1 (서대신동2가),POINT(129.0121780 35.1109370),
138,남부민1동 주민복합커뮤니티센터,ETC,부산광역시 서구 천마로 176 (남부민동),POINT(129.0229105 35.0912712),
139,부민산 체육공원,ETC,부산광역시 서구 해돋이로303번길,POINT(129.0137000 35.1040100),
140,토성동지하철역,ETC,부산광역시 서구 구덕로 지하170 (토성동3가),POINT(129.0197760 35.1007270),
141,남항파출소,ETC,"부산광역시 서구 해안새벽시장길 91, 부산해양경찰서 남항파출소 (남부민동)",POINT(129.0253200 35.0922133),
142,송도지구대,ETC,부산광역시 서구 충무대로 84 (암남동),POINT(129.0214790 35.0794255),
143,구덕문화공원(인공폭포 앞),ETC,"부산광역시 서구 꽃마을로163번길 73, 구덕문화공원 (서대신동3가)",POINT(129.0057420 35.1264137),
144,아미동 주민센터,ETC,"부산광역시 서구 해돋이로269번길 17, 아미동주민센터 (아미동2가)",POINT(129.0154549 35.1003779),
