place_key,source_dataset,source_place_id,place_name,ui_category,raw_category,source_category,category_source,category_match_method,is_adopted_category,district_gu,address,point_wkt,latitude,longitude,provider_place_id,public_facility_type,public_facility_id,public_facility_name,public_facility_address,accessibility_count,accessibility_type_codes,accessibility_type_labels
place:5550,erd_ready,5550,인창대연요양병원,의료·보건,HEALTHCARE,HEALTHCARE,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 수영로 164,POINT(129.0845938 35.1344620),35.1344620,129.0845938,,,,,,7,ramp|accessibleEntrance|elevator|accessibleToilet|accessibleParking|stepFree|guidanceFacility,경사로|접근 가능 출입구|엘리베이터|장애인 화장실|장애인 주차장|단차 없음|안내 설비
place:5551,erd_ready,5551,부산남구청사,공공기관,PUBLIC_OFFICE,PUBLIC_OFFICE,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 못골로 19,POINT(129.0844346 35.1365160),35.1365160,129.0844346,,,,,,7,ramp|accessibleEntrance|elevator|accessibleToilet|accessibleParking|stepFree|guidanceFacility,경사로|접근 가능 출입구|엘리베이터|장애인 화장실|장애인 주차장|단차 없음|안내 설비
place:5552,erd_ready,5552,남구보건소,공공기관,PUBLIC_OFFICE,PUBLIC_OFFICE,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 못골로 23,POINT(129.0849507 35.1360678),35.1360678,129.0849507,,,,,,7,ramp|accessibleEntrance|elevator|accessibleToilet|accessibleParking|stepFree|guidanceFacility,경사로|접근 가능 출입구|엘리베이터|장애인 화장실|장애인 주차장|단차 없음|안내 설비
place:5553,erd_ready,5553,남부교육청청사,공공기관,PUBLIC_OFFICE,PUBLIC_OFFICE,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 못골로 29,POINT(129.0854530 35.1361663),35.1361663,129.0854530,,,,,,7,ramp|accessibleEntrance|elevator|accessibleToilet|accessibleParking|stepFree|guidanceFacility,경사로|접근 가능 출입구|엘리베이터|장애인 화장실|장애인 주차장|단차 없음|안내 설비
place:5554,erd_ready,5554,글로리빌딩,기타,ETC,ETC,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 못골로 49,POINT(129.0877584 35.1359762),35.1359762,129.0877584,,,,,,3,ramp|accessibleEntrance|stepFree,경사로|접근 가능 출입구|단차 없음
place:5555,erd_ready,5555,서경빌딩,기타,ETC,ETC,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 못골로41번길 6,POINT(129.0872319 35.1360898),35.1360898,129.0872319,,,,,,3,ramp|accessibleEntrance|stepFree,경사로|접근 가능 출입구|단차 없음
place:5556,erd_ready,5556,남구노인복지관,복지·돌봄,WELFARE,WELFARE,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 못골로 97-10,POINT(129.0932543 35.1361815),35.1361815,129.0932543,,,,,,6,ramp|accessibleEntrance|elevator|accessibleToilet|accessibleParking|stepFree,경사로|접근 가능 출입구|엘리베이터|장애인 화장실|장애인 주차장|단차 없음
place:5557,erd_ready,5557,못골대중사우나,기타,ETC,ETC,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 못골번영로 6,POINT(129.0893231 35.1356750),35.1356750,129.0893231,,,,,,3,ramp|accessibleEntrance|stepFree,경사로|접근 가능 출입구|단차 없음
place:5558,erd_ready,5558,못골골목시장고객편의시설,기타,ETC,ETC,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 수영로219번길 27-1,POINT(129.0901652 35.1364119),35.1364119,129.0901652,,,,,,3,ramp|accessibleParking|stepFree,경사로|장애인 주차장|단차 없음
place:5559,erd_ready,5559,극동탕,기타,ETC,ETC,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 못골번영로60번길 39,POINT(129.0912334 35.1406727),35.1406727,129.0912334,,,,,,2,ramp|accessibleEntrance,경사로|접근 가능 출입구
